i;cluster_count;records;som_learning_rate;som_iterations; ;SOM;time;clusters;min;max;mean;std;;K-MEANS;time;clusters;min;max;mean;std
0;3;1000;0.5;100; ; ;6.174338340759277;[83, 826, 91];83;826;333.3333333333333;348.383250012; ; ;0.03207540512084961;[1000, 0, 0];0;1000;333.3333333333333;471.404520791
1;3;1000;0.5;100; ; ;6.064574241638184;[84, 824, 92];84;824;333.3333333333333;346.969098848; ; ;0.01503610610961914;[286, 0, 714];0;714;333.3333333333333;293.404536813
2;3;1000;0.5;100; ; ;5.5906593799591064;[84, 824, 92];84;824;333.3333333333333;346.969098848; ; ;0.014534473419189453;[1000, 0, 0];0;1000;333.3333333333333;471.404520791
0;5;1000;0.5;100; ; ;6.838434219360352;[0, 288, 413, 299, 0];0;413;200.0;169.064484739; ; ;0.016039133071899414;[309, 691, 0, 0, 0];0;691;200.0;273.116092532
1;5;1000;0.5;100; ; ;6.3362274169921875;[0, 287, 414, 299, 0];0;414;200.0;169.213474641; ; ;0.02355670928955078;[686, 17, 0, 297, 0];0;686;200.0;267.990298332
2;5;1000;0.5;100; ; ;6.915119409561157;[0, 349, 360, 289, 2];0;360;200.0;164.271726113; ; ;0.014535665512084961;[211, 419, 370, 0, 0];0;419;200.0;177.190293188
0;10;1000;0.5;100; ; ;8.21273922920227;[0, 0, 46, 130, 120, 239, 329, 81, 55, 0];0;329;100.0;104.098030721; ; ;0.04510760307312012;[0, 0, 0, 0, 5, 981, 13, 0, 1, 0];0;981;100.0;293.69303703
1;10;1000;0.5;100; ; ;9.034711122512817;[0, 0, 52, 115, 130, 237, 329, 84, 53, 0];0;329;100.0;103.491062416; ; ;0.025060653686523438;[422, 383, 0, 0, 0, 0, 12, 0, 183, 0];0;422;100.0;160.750116641
2;10;1000;0.5;100; ; ;8.63425064086914;[0, 0, 52, 121, 145, 217, 326, 86, 53, 0];0;326;100.0;100.965340588; ; ;0.027065038681030273;[0, 0, 0, 417, 0, 0, 0, 357, 226, 0];0;417;100.0;158.875422895
0;5;100;0.5;100; ; ;0.40447187423706055;[0, 16, 59, 25, 0];0;59;20.0;21.734764779; ; ;0.013534069061279297;[36, 0, 37, 27, 0];0;37;20.0;16.6973051718
1;5;100;0.5;100; ; ;0.3859272003173828;[0, 14, 60, 26, 0];0;60;20.0;22.2351073755; ; ;0.016539812088012695;[26, 74, 0, 0, 0];0;74;20.0;28.8166618469
2;5;100;0.5;100; ; ;0.39144229888916016;[0, 16, 59, 25, 0];0;59;20.0;21.734764779; ; ;0.013532400131225586;[10, 0, 0, 40, 50];0;50;20.0;20.9761769634
0;5;1000;0.5;100; ; ;6.461528301239014;[0, 291, 411, 298, 0];0;411;200.0;168.763740181; ; ;0.01603984832763672;[0, 245, 0, 0, 755];0;755;200.0;293.274615335
1;5;1000;0.5;100; ; ;6.2986366748809814;[0, 353, 304, 341, 2];0;353;200.0;163.28502687; ; ;0.017542123794555664;[275, 725, 0, 0, 0];0;725;200.0;283.284309484
2;5;1000;0.5;100; ; ;6.262549638748169;[0, 352, 355, 291, 2];0;355;200.0;164.081686973; ; ;0.01703929901123047;[0, 0, 0, 659, 341];0;659;200.0;264.787461939
0;5;1000;0.5;100; ; ;6.086632013320923;[0, 290, 415, 295, 0];0;415;200.0;169.32217811; ; ;0.01503610610961914;[0, 0, 0, 537, 463];0;537;200.0;246.06421926
1;5;1000;0.5;100; ; ;6.623920202255249;[0, 348, 305, 344, 3];0;348;200.0;162.772233504; ; ;0.025060176849365234;[779, 0, 203, 0, 18];0;779;200.0;299.457509507
2;5;1000;0.5;100; ; ;7.306559801101685;[0, 287, 418, 295, 0];0;418;200.0;169.775145413; ; ;0.02355790138244629;[0, 0, 5, 995, 0];0;995;200.0;397.504716953
0;5;1000;0.1;100; ; ;6.517161846160889;[0, 287, 418, 295, 0];0;418;200.0;169.775145413; ; ;0.013531208038330078;[998, 0, 2, 0, 0];0;998;200.0;399.000751879
1;5;1000;0.1;100; ; ;6.848458290100098;[0, 287, 418, 295, 0];0;418;200.0;169.775145413; ; ;0.020048141479492188;[0, 1000, 0, 0, 0];0;1000;200.0;400.0
2;5;1000;0.1;100; ; ;6.0981550216674805;[0, 283, 417, 300, 0];0;417;200.0;169.692663365; ; ;0.016539335250854492;[0, 0, 0, 0, 1000];0;1000;200.0;400.0
0;5;1000;0.3;100; ; ;6.436975002288818;[0, 286, 414, 300, 0];0;414;200.0;169.22883915; ; ;0.013532400131225586;[0, 0, 6, 472, 522];0;522;200.0;243.024278623
1;5;1000;0.3;100; ; ;6.7587432861328125;[0, 348, 305, 344, 3];0;348;200.0;162.772233504; ; ;0.01503610610961914;[0, 0, 0, 0, 1000];0;1000;200.0;400.0
2;5;1000;0.3;100; ; ;6.256535768508911;[0, 353, 354, 291, 2];0;354;200.0;164.079249145; ; ;0.01553654670715332;[0, 0, 1000, 0, 0];0;1000;200.0;400.0
0;5;1000;0.6;100; ; ;7.055961847305298;[0, 301, 402, 297, 0];0;402;200.0;167.57923499; ; ;0.01754164695739746;[0, 0, 0, 392, 608];0;608;200.0;254.294317671
1;5;1000;0.6;100; ; ;5.809962272644043;[0, 352, 355, 291, 2];0;355;200.0;164.081686973; ; ;0.015539169311523438;[10, 0, 0, 303, 687];0;687;200.0;269.769531267
2;5;1000;0.6;100; ; ;6.402388572692871;[0, 303, 399, 298, 0];0;399;200.0;167.220812102; ; ;0.014534473419189453;[303, 0, 0, 697, 0];0;697;200.0;274.815574522
0;5;1000;0.5;10; ; ;8.379638671875;[0, 348, 305, 344, 3];0;348;200.0;162.772233504; ; ;0.0025060176849365234;[690, 168, 142, 0, 0];0;690;200.0;254.750073602
1;5;1000;0.5;10; ; ;8.16913914680481;[0, 259, 444, 297, 0];0;444;200.0;174.600114547; ; ;0.002004384994506836;[401, 235, 0, 0, 364];0;401;200.0;172.349644618
2;5;1000;0.5;10; ; ;8.005739688873291;[0, 287, 418, 295, 0];0;418;200.0;169.775145413; ; ;0.0035088062286376953;[1000, 0, 0, 0, 0];0;1000;200.0;400.0
0;5;1000;0.5;100; ; ;7.355189561843872;[0, 286, 417, 297, 0];0;417;200.0;169.643154887; ; ;0.020047426223754883;[0, 383, 0, 302, 315];0;383;200.0;165.600724636
1;5;1000;0.5;100; ; ;7.152689218521118;[0, 287, 414, 299, 0];0;414;200.0;169.213474641; ; ;0.018544435501098633;[0, 6, 262, 732, 0];0;732;200.0;284.430659388
